Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,A_1,A_2,A_3,A_4,B_1,B_2,B_3,B_4
773,Tb927.10.15200,0.037582032,16.3195323,0.21677038,"Predicted coiled-coil domain-containing protein (DUF2360), putative",80702,74759,76391,82731,102470,106140,106700,99692
774,Tb927.10.15210,-0.387065553,14.21289308,1.571364068,nuclear cap binding complex subunit CBP30,18572,15002,19026,14785,30850,31743,32398,24329
775,Tb927.10.15280,-0.039448569,18.01851227,0.247268825,"Domain of Unknown Function (DUF1042), putative",236040,288650,256540,249080,331390,381660,356520,362700
776,Tb927.10.15290,0.172749984,17.95710681,2.638490738,"tubulin binding cofactor c, putative",267570,283330,266990,249510,320710,326420,339160,296690
777,Tb927.10.15300,-0.3832427,16.25384499,3.282998087,"Calcium/calmodulin-dependent protein kinase kinase, putative",65521,65334,69783,69893,116300,126560,114360,120870
778,Tb927.10.15310,-0.113839627,18.0752399,0.760070126,"hypothetical protein, conserved",251010,264180,280690,242390,328020,397090,425490,375860
779,Tb927.10.15320,-0.078397216,12.80114253,0.138100858,"hypothetical protein, conserved",5936,5535.2,6072.4,8650.1,10633,8949.9,6839.5,11097
780,Tb927.10.15330,-0.026243997,20.57740493,0.288946948,"CYTH domain containing protein, putative",1493400,1516000,1617600,1483900,1969300,1991800,2277900,2202700
781,Tb927.10.15350,0.037837434,20.25983521,0.236807877,histone H3 variant V,1062300,1340700,1393600,1216400,1620100,1658000,1666700,1635100
782,Tb927.10.15360,-0.053563292,20.34917495,1.170629422,"hypothetical protein, conserved",1228800,1232200,1313300,1277100,1722500,1758000,1875200,1747100
783,Tb927.10.1540,0.008617621,19.00488097,0.073651271,"zinc finger protein family member, putative",470550,489010,529030,510410,662970,633750,688400,706300
784,Tb927.10.15410,0.543696138,14.30095515,4.621290575,glycosomal malate dehydrogenase,24681,23978,32777,31735,27528,26553,25450,24679
785,Tb927.10.15420,-0.156716927,12.21123066,0.446034163,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5, putative",5562.5,4467,4326.2,3826.5,5610.1,6149.5,7295.3,8498.5
786,Tb927.10.15430,-0.110445629,17.99017342,1.546919471,"Ankyrin repeats (3 copies), putative",218780,229250,247150,241740,336350,317290,373460,343890
787,Tb927.10.15440,0.023605011,18.53811499,0.158506181,"hypothetical protein, conserved",372780,373520,386040,366150,503060,498170,482750,513110
788,Tb927.10.15470,0.184809441,17.68913201,2.201355331,"hypothetical protein, conserved",190900,206170,238780,226140,243850,265060,260860,254270
789,Tb927.10.15480,-0.114634524,14.88575742,0.718910482,"transporter, putative",29929,25308,29480,26344,36071,41689,39986,45269
790,Tb927.10.15490,0.013915218,13.99773124,0.046215626,"GDP-mannose 4,6 dehydratase",18191,18380,14849,15279,20739,21882,26492,20443
791,Tb927.10.1550,0.013377177,21.71128401,0.160828199,proteasome regulatory non-ATP-ase subunit 5,3317100,3399400,3313700,3291900,4257800,4360600,4603400,4669800
792,Tb927.10.15510,0.256167218,11.57476891,0.426904264,"hypothetical protein, conserved",2014.7,2532.4,0,3577.8,2340.7,2877.6,4510.2,3516
793,Tb927.10.15520,-0.078741135,21.30445798,1.601602977,"signal recognition particle protein, putative",2337800,2325400,2492100,2457200,3438000,3355900,3537000,3417200
794,Tb927.10.15530,-0.153826973,21.72600658,3.471677801,"ABC transport system ATP-binding protein, putative",2896900,3045300,3351400,2904900,4458000,4525700,4827900,4548400
795,Tb927.10.15540,-0.110638316,17.20436139,1.322166919,predicted VPS53-like domain protein,138920,156650,160810,134890,203990,204620,228810,226190
796,Tb927.10.15570,0.049973712,14.31007847,0.235066561,"transcription factor IIa, putative",16275,20465,19970,19177,25146,22808,28121,23186
797,Tb927.10.15580,-0.246804485,14.05422355,0.822899804,"dynein light chain, putative",17677,11930,16813,15482,24897,20388,28428,25394
798,Tb927.10.15590,0.077244294,19.16108846,0.466456908,"macrophage infectivity potentiator, precursor, putative",589660,738220,617870,564630,792010,823090,768210,824280
799,Tb927.10.1560,-0.144037559,19.45031773,2.186298601,Nucleolar protein 91,635900,616570,687660,667720,969930,911300,1013600,1008800
800,Tb927.10.15640,0.067854933,17.16188433,0.431644769,"WD domain, G-beta repeat, putative",126530,149720,153930,136230,186010,179370,197950,167810
801,Tb927.10.15660,-0.072191342,20.26446814,1.401502716,"hypothetical protein, conserved",1148900,1174300,1205900,1149900,1590800,1658500,1799900,1620600
802,Tb927.10.15680,-0.648890589,15.05060295,6.061915438,"hypothetical protein, conserved",23477,27409,28669,26106,55427,56152,59800,52667
803,Tb927.10.15710,0.050856412,19.35197365,0.311461233,mitochondrial carrier protein,642210,625680,726550,624250,827190,819470,900110,873530
804,Tb927.10.15720,0.006956282,21.47135169,0.06207459,proteasome regulatory non-ATP-ase subunit 9,2620200,2947000,3071100,2688300,3746500,3794200,4004100,3699600
805,Tb927.10.15730,-0.090609789,19.09101281,1.443086042,"SPRY domain/Ankyrin repeats (3 copies), putative",520440,532150,531370,491790,721970,760240,768680,742620
806,Tb927.10.15740,0.070602809,16.20368614,0.284705282,"hypothetical protein, conserved",65189,73899,83279,69612,76431,101050,91590,109310
807,Tb927.10.15760,-0.011926737,23.85296106,0.092709437,"hypothetical protein, conserved",13928000,15437000,16061000,14662000,19708000,21100000,20143000,21039000
808,Tb927.10.1580,-0.07356451,17.0551052,0.501837465,MICOS complex subunit MIC10-1,129480,122430,133230,126200,166500,172520,201990,189690
809,Tb927.10.15800,-0.143780421,14.34123704,0.868476521,"actin related protein 2, putative",16846,19335,21046,16391,29255,26487,27700,26262
810,Tb927.10.15810,-0.365169041,14.5118502,2.296947287,"Fcf1, putative",18129,16714,18920,20317,30329,35948,31678,31257
811,Tb927.10.15830,0.353871382,14.0556643,1.983223629,SUMO-interacting motif-containing protein,14693,16577,18887,16550,19829,15991,15886,19080
812,Tb927.10.15840,-0.082285152,14.73611451,0.45800777,"hypothetical protein, conserved",22209,22233,25629,24132,33854,35224,35129,30840
813,Tb927.10.15870,-0.098076126,15.22739048,0.355483636,"RNA binding protein, putative",42163,33966,35922,36389,50398,50728,60783,53242
814,Tb927.9.15210,-0.117682676,20.99186756,0.99426522,"ribosomal protein L36, putative",1985500,1861000,1801200,1861400,2546900,3126600,2725000,2664200
815,Tb927.10.15960,-0.356826349,17.89838376,6.521494693,"hypothetical protein, conserved",185020,201790,200360,197430,346470,327910,345740,340510
816,Tb927.10.16020,-0.123235328,16.79296521,0.978445015,"pre-RNA processing PIH1/Nop17, putative",92196,110590,110500,90706,143460,158240,142120,150110
817,Tb927.10.16030,-0.075217198,14.96609515,0.646191841,"mitogen activated protein kinase 4, putative",28075,31806,31337,31268,41965,45571,46649,40685
818,Tb927.10.16100,-0.339544965,22.25374293,4.630381485,"FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative",4250300,4293500,4606100,4358000,7366500,7653700,7714100,7270800
819,Tb927.10.16120,-0.046634505,23.01916643,0.683616434,inosine-5-monophosphate dehydrogenase,8034500,8899700,8963400,7947500,11400000,12057000,12344000,11505000
820,Tb927.10.16180,0.016331219,14.02605069,0.04017921,"hypothetical protein, conserved",17725,17781,18380,13051,19861,24940,20087,24454
821,Tb927.10.1620,-0.176413437,18.73859796,3.532358879,"phosphoserine/threonine/tyrosine-binding protein, putative",383100,399470,388730,385350,584770,582790,596080,619750
822,Tb927.10.1630,-0.01695918,20.66358619,0.200744731,atp-binding cassette sub-family e member 1,1501000,1597700,1570500,1594600,2107100,2117700,2266100,2096300
823,Tb927.10.1660,-0.035995182,15.55766864,0.093642067,"hypothetical protein, conserved",37619,48306,40851,53842,57060,62055,61524,68268
824,Tb927.10.1680,0.219935225,14.66267422,0.806492619,histone deacetylase 1,30948,30565,28251,25199,30280,38952,31622,33042
825,Tb927.10.170,0.092440402,20.33879377,1.293635931,"pseudouridine synthase, Cbf5p",1261600,1396700,1382000,1317600,1646800,1795700,1656900,1706600
826,Tb927.10.1720,-0.189048934,19.52726701,3.022926635,"ATP-dependent DEAD/H RNA helicase, putative",712910,651940,666400,676470,1022600,1017900,1105600,1035500
827,Tb927.10.1730,-0.119269588,18.44611277,1.700117531,"Polyadenylation mediator complex protein PAMC3, putative",298120,352770,325160,325820,439260,477340,527140,472490
828,Tb927.10.1740,0.036068428,16.84353173,0.283486728,"hypothetical protein, conserved",118400,114520,125700,107260,146780,147860,171700,149480
829,Tb927.10.180,0.098263947,20.32299093,1.143446544,"ATP synthase F1 subunit gamma protein, putative",1343000,1392200,1404300,1241900,1588400,1618800,1820500,1786300
830,Tb927.10.1810,-0.067413456,17.36090293,0.513271402,"RING-H2 zinc finger, putative",152110,145410,149300,155950,188010,224980,219080,225600
831,Tb927.10.1830,0.104057121,18.39496446,1.793109227,"syntaxin, putative",334080,349430,365940,353060,433370,426390,477100,431710
832,Tb927.10.1860,0.191564814,17.90614062,4.624402913,"hypothetical protein, conserved",246710,254570,264850,250830,291410,291870,314070,309230
833,Tb927.10.1890,0.002864216,20.39744482,0.027543607,"cysteine peptidase, Clan CA, family C2, putative",1357500,1305700,1473300,1283400,1736900,1830100,1936000,1819400
834,Tb927.10.190,-0.074993705,17.46891473,0.319964739,"40S ribosomal protein S6, putative",196500,168840,180540,193780,237070,214830,308470,306290
835,Tb927.10.1900,-0.125045859,18.01662596,2.154281402,"DNA topoisomerase IA, putative",231450,248690,250390,235700,344050,357060,386180,341040
836,Tb927.10.1960,-0.060724617,18.76191055,0.66163932,"hypothetical protein, conserved",382590,426720,439570,401370,556510,586010,597080,589460
837,Tb927.10.1970,0.170675803,21.69097775,2.185223847,"CHAT domain containing protein, putative",3213900,3437100,3421100,3085800,3714700,3991800,4177600,3949300
838,Tb927.10.1980,-0.316207957,16.50571496,3.860652362,"hypothetical protein, conserved",79913,79918,84949,79245,129120,131890,155740,131170
839,Tb927.10.1990,-0.058398182,21.58396708,1.069475117,"major vault protein, putative",2896700,2957800,3118900,3015200,3940100,4221500,4548600,4216500
840,Tb927.10.200,0.197466378,21.93500567,3.104679954,"vacuolar ATP synthase, putative",4169600,4394800,4071000,3865800,5023300,4647000,5057200,4758000
841,Tb927.10.2000,-0.164623251,14.88877034,0.509723963,"actin-like protein, putative",25756,23331,30612,33694,43020,44152,41634,41659
842,Tb927.10.2010,0.191742876,23.95348705,2.668923325,hexokinase,17826000,18213000,18635000,17335000,22102000,21075000,20769000,21453000
844,Tb927.10.2030,-0.126682396,16.89288056,1.259562337,"Pentatricopeptide repeat protein (PPR), putative",106560,110140,119380,109090,170850,163710,174410,149910
845,Tb927.10.2040,0.160504475,19.19523188,2.48133184,"STE group serine/threonine-protein kinase, putative",592430,605690,688880,564830,738790,723860,780890,721460
846,Tb927.10.2050,0.136797775,11.22298655,0.235741197,"hypothetical protein, conserved",1355.2,2326.2,3268.6,2818.1,2692,3340.8,2450.2,3036.8
847,Tb927.10.2060,-0.16969949,16.58666067,1.163465607,"hypothetical protein, conserved",88739,82912,88671,90372,113160,126590,149990,147920
848,Tb927.10.2080,0.089616502,16.54318096,0.639341198,"hypothetical protein, conserved",92467,99790,104490,84208,112740,116940,120270,134490
849,Tb927.10.210,0.098730375,19.14619688,1.072753213,GPI transamidase component GAA1,547420,599650,588900,580660,672950,801440,767460,694520
850,Tb927.10.2130,-0.032493539,19.5219194,0.267252557,"Vps51/Vps67, putative",696250,817690,820840,694170,1066500,1019700,1140400,963850
851,Tb927.10.2190,-0.078325072,17.91934878,1.003132574,"Protein of unknown function (DUF667), putative",237700,233830,253070,238810,328060,354000,340560,355370
852,Tb927.10.6370,0.258069651,16.90169699,2.305358225,"60S ribosomal proteins L37, putative",129650,121470,135160,114180,134020,153530,135410,143620
853,Tb927.10.2200,-0.026689609,18.71563992,0.240933553,"hypothetical protein, conserved",431510,379960,431890,398890,573330,542960,564290,583060
854,Tb927.10.2230,0.274030577,16.07224301,2.229137595,"NADPH:adrenodoxin oxidoreductase, mitochondrial, putative",82283,77587,73147,70274,91779,84085,86984,77005
855,Tb927.10.2240,-0.053753231,22.20635121,0.635261129,RNA binding protein,4467600,4770500,5119500,4507700,6260800,6678000,7101100,6475000
856,Tb927.10.2250,0.147836696,16.07241437,1.242598534,"ubiquitin-conjugating enzyme variant Kua homologue, putative",73150,69197,75315,70122,87860,96050,85899,82422
857,Tb927.10.2260,-0.167995341,15.96579984,1.118963619,"Ubiquitin family, putative",48007,60554,63572,58192,76810,97685,97874,78568
858,Tb927.10.2270,-0.033125666,20.74248652,0.403843572,"vacuolar protein sorting-associated protein 35, putative",1635700,1763400,1806800,1634600,2300000,2345300,2464600,2365300
859,Tb927.10.2290,-0.049382018,19.77773566,0.664246393,"chaperone protein DnaJ, putative",822390,861400,927590,813140,1127700,1227600,1238000,1203900
860,Tb927.10.230,-0.02386198,19.41186017,0.131724055,"proteasome subunit alpha type-5, putative",594640,711450,765070,619190,821660,935330,981400,955980
861,Tb927.10.2320,-0.033188649,18.80308591,0.35237186,Nucleoporin NUP41,437090,456860,464570,435190,617060,598220,656450,615110
862,Tb927.10.2350,0.313030041,19.07361574,3.949149732,"pyruvate dehydrogenase complex E3 binding protein, putative",641360,634160,672420,617870,682390,657940,717990,741090
863,Tb927.10.2370,-0.018233613,21.07417479,0.184967406,"Lupus La protein homolog, putative",2068700,2078100,2250700,2101100,2745500,2899700,3173100,2850500
864,Tb927.10.2380,-0.044735289,20.65036607,0.892362941,"Tetratricopeptide repeat, putative",1538300,1660700,1604300,1528600,2102800,2174100,2343300,2229300
865,Tb927.10.240,0.008129104,19.97473058,0.088532785,"peroxin 14, putative",930080,1022700,1073000,995070,1293600,1379800,1419400,1319800
866,Tb927.10.2440,0.403968038,21.54278476,8.126753284,Metacaspase-4,3367700,3413100,3425600,3294100,3434500,3385900,3676100,3333500
867,Tb927.10.2460,0.090367111,12.45454055,0.226167008,"DnaJ domain containing protein, putative",5395.7,6306.5,5741.4,4738.8,7711.7,6756.7,7363.9,6324.3
868,Tb927.10.2470,0.075808918,19.51670591,0.87769707,"Cleft lip and palate transmembrane protein 1 (CLPTM1), putative",673740,777760,809630,708720,916450,910150,947200,1038600
869,Tb927.10.2490,-0.115464088,19.3459959,1.849936862,glucose-6-phosphate 1-dehydrogenase,615680,627950,597460,600730,823460,934740,911430,917360
870,Tb927.10.250,-0.115625759,14.7338184,0.62912351,"hypothetical protein, conserved",21923,25001,25331,24698,35603,33557,41795,31864
871,Tb927.10.2530,-0.091575529,21.33036725,1.257340436,"adenylate kinase, putative",2550900,2582900,2452800,2307800,3280000,3597600,3921200,3498800
872,Tb927.10.2560,0.484779121,18.34669746,5.473912995,mitochondrial malate dehydrogenase,390000,392440,450850,423840,383790,390220,408070,420240
873,Tb927.10.2570,0.224204828,18.41472089,3.321985076,"lysosomal alpha-mannosidase precursor, putative",385570,393770,389350,402050,419660,445040,493570,466280
874,Tb927.10.2580,-0.061216844,10.93448431,0.087186529,"Nucleolar protein 12 (25kDa), putative",1766.2,1926.6,2658.3,1349.1,3687.5,3171.3,1586.8,0
875,Tb927.10.260,0.199956549,14.24176354,0.755824672,"BolA-like protein, putative",13728,22334,24473,16965,20682,20656,24306,23713
876,Tb927.10.2610,0.002116088,16.88797662,0.015498651,"Domain of unknown function (DUF1935), putative",114010,125860,120520,105060,146360,157220,177390,149010
877,Tb927.10.2620,0.050051737,20.22551471,0.358169337,"CS domain containing protein, putative",1144100,1246700,1241000,1230100,1631000,1533100,1684500,1515200
878,Tb927.10.2630,-0.061940845,14.12706635,0.193392853,"Regulator of Vps4 activity in the MVB pathway, putative",16526,16595,15329,17449,20238,27552,23476,22406
879,Tb927.10.2640,-0.00301359,23.20481941,0.034272031,intraflagellar transport protein 81,8876400,9404400,10383000,9347600,12404000,13049000,13536000,12557000
880,Tb927.10.2650,-0.208779282,16.7703065,2.321502856,"hypothetical protein, conserved",109360,99467,114470,94607,152070,156370,166290,178970
881,Tb927.10.2670,0.06938972,17.19996621,0.465885346,"hypothetical protein, conserved",154210,144630,159040,150960,206740,183680,206460,189740
883,Tb927.9.15420,-0.032376723,22.60727512,0.215908259,60S ribosomal protein L32,6434300,6262600,5848500,6329500,8605300,8897800,8306800,8639100
884,Tb927.10.2700,-0.238477688,18.38337689,3.244502209,predicted WD40 repeat protein,287210,302080,343090,312440,445340,481920,553410,510780
885,Tb927.10.2720,-0.03079302,17.625541,0.208523309,"hypothetical protein, conserved",179750,187890,215170,191740,234480,262410,305690,271690
886,Tb927.10.2730,-0.121995872,19.8064522,1.681923372,"START domain containing protein, putative",823750,946920,905460,814760,1222900,1295000,1363600,1258500
888,Tb927.10.2760,0.061343,17.16885752,0.65099875,"ATPase family associated with various cellular activities (AAA), putative",144500,155690,153400,141570,194620,176240,212040,190830
889,Tb927.10.2780,-0.112033075,19.32483218,1.700577072,DNA-directed RNA polymerase III subunit C1,616950,585190,650680,602300,803090,944430,968820,884600
890,Tb927.10.2790,0.068909758,16.43188008,0.322669484,"Conserved oligomeric complex COG6, putative",79378,93891,97089,82100,89932,123050,127910,116750
891,Tb927.10.2810,-0.004099007,20.18138677,0.03145317,"hypothetical protein, conserved",1056500,1241400,1186100,1197200,1505300,1616100,1611900,1617600
892,Tb927.3.1370,-0.185406348,21.35611214,1.482133366,"40S ribosomal protein S25, putative",2219200,2564700,2659800,2121500,3808800,3509100,3692100,3664500
893,Tb927.10.2860,0.106000955,16.73058816,0.640725083,POC1 centriolar protein homolog,109910,110260,118360,99381,141510,145000,136470,127770
894,Tb927.10.2880,0.128447075,20.14476097,2.628651396,"Voltage-dependent calcium channel subunit, putative",1125700,1218600,1241000,1110100,1374100,1428100,1498700,1515500
895,Tb927.10.290,0.056002136,20.87377552,0.567587422,"proteasome alpha 2 subunit, putative",1788600,1952500,2003100,1880300,2267300,2539900,2613600,2519600
896,Tb927.10.2900,-0.010302367,19.6367423,0.096124372,"importin beta-1 subunit, putative",746050,793650,821890,768250,999510,1069000,1090100,1112200
897,Tb927.10.2910,-0.069615005,18.49487596,0.680352656,splicing factor PTSR1 interacting protein,367220,342620,363460,306270,460680,505680,494170,496900
898,Tb927.10.2930,-0.015460801,18.68387299,0.205452128,"hypothetical protein, conserved",391480,417650,421960,394030,535910,570500,566490,551690
899,Tb927.10.2940,0.190171968,19.04472374,4.735815128,"Soluble NSF attachment protein, SNAP, putative",560310,603330,605370,553890,648070,688300,717940,703470
900,Tb927.10.2950,-0.032114234,19.72278201,0.363050285,"hypothetical protein, conserved",782570,862400,884720,808660,1096500,1160600,1187600,1176000
901,Tb927.10.3030,0.047561064,20.88095688,0.464132904,proteasome regulatory non-ATPase subunit 11,1854300,1783200,2119400,1952700,2465200,2394200,2615600,2616200
902,Tb927.10.2990,-0.08023164,18.50725792,1.377921625,nuclear cap binding complex subunit CBP110,349820,349040,381970,347130,495520,530130,517910,500550
903,Tb927.10.3000,-0.074620498,17.49005385,0.651657514,"Orofaciodigital syndrome 1-like protein, putative",171540,163760,190800,164930,227600,240820,280080,238480
904,Tb927.10.3010,0.013370264,19.14203524,0.104517431,"hook complex protein, conserved",527190,583910,591890,594560,719850,758830,793250,811240
905,Tb927.10.3020,-0.113835704,15.8990363,0.933437281,"hypothetical protein, conserved",49204,61774,63753,59657,76717,95055,89264,81996
906,Tb927.10.3070,0.315842969,17.51929913,4.053243936,"hypothetical protein, conserved",207710,198890,219670,188540,213250,211390,250940,212170
907,Tb927.10.3080,0.119307846,19.56034997,1.772141878,"methionine biosynthetic protein, putative",695750,802970,840570,780140,912900,925360,1018800,1029700
908,Tb927.10.3090,-0.159207908,15.15156867,0.972272958,"hypothetical protein, conserved",32295,29552,34923,30194,46756,48697,51813,44666
909,Tb927.10.310,-0.182557311,17.75225687,3.870662831,pumillio/PUF RNA binding protein 3,195310,203350,211270,187970,295440,315570,313080,301850
910,Tb927.10.3100,0.207910258,14.20237511,2.043086498,"glycerol-3-phosphate acyltransferase, putative",17828,20337,19062,19763,24253,21338,25378,19678
911,Tb927.10.3110,-0.227595158,14.83205065,2.421894192,"DNA primase large subunit, putative",22935,28191,27867,26440,39654,39997,46066,41268
912,Tb927.10.3130,-0.315581605,15.3918621,4.190751368,"myotubularin-associated protein, putative",35475,34312,35155,37275,57070,59969,65138,57796
913,Tb927.10.3150,-0.074274042,17.58319163,0.906492187,"N-acetyltransferase, putative",183410,191460,188330,170170,246950,270170,265570,262790
914,Tb927.10.3160,0.047780952,17.11870047,0.259748351,"hypothetical protein, conserved",156710,150230,123810,146800,173070,183070,197190,202010
915,Tb927.10.3170,-0.050324222,20.0126857,0.664544376,"GCN20-type ATP-binding cassette protein, putative",980130,981680,999040,991140,1366700,1393900,1450800,1334600
916,Tb927.10.3200,-0.275708598,20.1302964,4.47558771,"U2 splicing auxiliary factor, putative",971350,1163300,1095800,992490,1762100,1683000,1856900,1614000
917,Tb927.10.3210,0.244621575,22.98248521,5.816355954,"delta-1-pyrroline-5-carboxylate dehydrogenase, putative",9116400,9561600,9836500,9417600,10717000,10598000,11248000,10802000
918,Tb927.10.3230,0.037171809,18.52772116,0.327975837,"CMGC/MAPK protein kinase, putative",366110,394940,382300,352620,449340,494250,527440,505470
919,Tb927.10.3260,0.082217999,21.40072432,2.003472756,"Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5), putative",2797000,2929800,2945400,2770300,3519400,3589600,3724700,3809700
920,Tb927.10.3280,-0.027451842,21.39265033,0.32428441,"60S ribosomal proteins L38, putative",2528800,2727600,2947900,2616000,3645700,3753000,3832600,3685900
921,Tb927.10.330,0.057057553,16.66446997,0.318179136,"hypothetical protein, conserved",88221,103680,125330,104190,128810,128400,141880,146320
922,Tb927.10.3310,0.005885512,17.47105496,0.035167618,Component of motile flagella 76b,163620,180940,200370,168480,227790,251760,262420,220010
923,Tb927.10.3330,0.261909944,16.85354117,2.154610859,"DDRGK domain containing protein, putative",127200,130520,133590,126160,127440,148630,143710,167450
924,Tb927.10.3350,-0.133653381,14.61062897,0.924750311,"major facilitator superfamily, putative",24544,24903,21449,23750,35213,34013,40918,30991
925,Tb927.10.3380,0.053605106,17.99309952,0.246881642,"60S acidic ribosomal protein P2, putative",259110,283790,260560,210020,333490,330810,338550,312690
926,Tb927.10.3390,0.078480282,16.77749402,0.534623903,predicted TLD domain protein,98230,122650,113990,119250,142010,127780,156510,156210
927,Tb927.10.340,-0.09283583,16.31616927,0.592863819,"mitochondrial structure specific endonuclease I (SSE-1), putative",65079,70419,82932,78366,106670,106400,109250,104630
928,Tb927.10.3400,0.200577504,15.81148974,0.500992941,"hypothetical protein, conserved",66114,69629,58987,51562,53337,54288,93767,99578
929,Tb927.10.3430,0.155369211,17.59427046,1.734677684,"hypothetical protein, conserved",191170,214140,211520,209450,242960,267980,262490,232280
930,Tb927.10.3470,-0.090861531,16.78854525,0.510340262,"Ankyrin repeats (3 copies), putative",110830,100910,99600,97186,138010,149030,149610,152410
931,Tb927.10.3500,-0.014185621,20.53227601,0.14716615,splicing factor u2af 65 kda subunit,1443300,1469700,1571800,1443600,1969400,1941300,2176300,2026100
932,Tb927.10.3510,0.367149091,16.63236272,5.068343248,"tRNA pseudouridine synthase D (TruD), putative",105630,113090,118440,100740,111340,109040,119800,119240
933,Tb927.10.3520,0.001858097,20.73678025,0.021981873,protease regulatory ATPase subunit 4,1636800,1700300,1753400,1749200,2218400,2370300,2358700,2305600
934,Tb927.10.3540,-0.050946111,18.76191463,0.578697464,DNA-directed RNA polymerase I subunit RPA31,398450,423080,440340,438580,535420,595870,664110,595920
935,Tb927.10.3560,-0.053877295,20.34839308,0.579257498,"Protein arginine N-methyltransferase 1, prozyme",1202000,1181100,1283100,1253700,1738300,1641000,1823000,1717100
936,Tb927.10.3570,0.047523659,19.14309638,0.389072197,RNA editing exonuclease 2,601000,557910,590430,550980,774130,729590,756270,753780
937,Tb927.10.3590,-0.047533193,17.19021477,0.335769301,"hypothetical protein, conserved",146820,140700,147680,128310,195220,189370,205350,198090
938,Tb927.10.360,0.129227459,17.80305645,1.371849646,"hypothetical protein, conserved",231080,264520,238810,212880,275920,277040,323240,295970
939,Tb927.10.3640,0.030237201,18.16005849,0.169641705,"nuclear transmembrane protein, putative",274290,321570,302020,288760,394970,402900,391850,382000
940,Tb927.10.3650,0.054512977,15.09531003,0.235430332,NADH-dependent fumarate reductase,31404,32756,35765,31808,39499,42726,46733,42956
941,Tb927.10.3660,-0.002941132,22.75863371,0.024884762,aspartate aminotransferase,6821500,6995500,7491000,7483900,9508400,9565700,10444000,9561200
942,Tb927.10.3670,-0.12034299,16.07942504,0.792636015,"hypothetical protein, conserved",54661,69104,65753,65866,95136,93677,96984,88978
943,Tb927.10.370,0.160876666,13.5940314,0.838743336,"calcineurin B subunit, putative",13163,12069,11109,11897,14298,12633,15336,16339
944,Tb927.10.3700,-0.212611799,17.90205864,1.392736158,"AMP-activated protein kinase, gamma regulatory subunit",204300,253260,236410,247190,348740,381510,363260,379850
945,Tb927.10.3720,-0.126995154,16.47910094,2.347620078,"hypothetical protein, conserved",82353,82727,84773,85570,115530,123510,132470,125200
946,Tb927.10.3750,-0.076315412,17.22291097,0.793685503,"Endonuclease/Exonuclease/phosphatase family, putative",141330,144040,146950,139680,191320,210380,214490,201390
947,Tb927.10.3760,0.139997593,19.94814592,2.284122644,"vacuolar ATP synthase subunit d, putative",1082500,1035500,1057200,1030800,1276300,1244300,1305100,1346200
948,Tb927.10.3770,0.108753335,15.41421197,0.412352104,predicted TPR repeat protein,46728,41885,43588,49558,51957,54071,65700,57054
949,Tb927.10.3780,-0.031327576,17.48949551,0.244655999,"hypothetical protein, conserved",167390,183210,164620,173460,222370,238000,244420,248650
950,Tb927.10.3790,-0.107990936,17.29305303,1.826665254,"hypothetical protein, conserved",146340,144670,148660,144390,200320,217790,222680,212500
951,Tb927.10.3810,0.017192556,16.70649559,0.10490324,Nucleoporin NUP65,100360,107400,103170,102160,136430,141270,136160,138990
952,Tb927.10.3820,-0.038158603,17.51439788,0.268512382,"hypothetical protein, conserved",172880,180320,184570,176220,228960,246900,269500,249120
953,Tb927.11.14130,-0.382196123,19.86071359,5.189877574,"ribosomal protein L18, putative",817350,744240,802280,701700,1372500,1270300,1464000,1303600
954,Tb927.10.3860,0.051861155,18.24762559,0.794661725,"SNF-7-like protein, putative",315160,329590,322980,294150,402760,412170,438070,395760
955,Tb927.10.390,-0.012417711,20.1898687,0.07929526,"DUF2407 ubiquitin-like domain containing protein, putative",984440,1130300,1220600,1132100,1426400,1508400,1671200,1490400
956,Tb927.10.3900,-0.00022736,19.33405191,0.001818156,"CAMK/CAMKL family protein kinase, putative",603540,670750,676140,609760,832180,859610,957440,821110
957,Tb927.10.3950,0.023258439,17.12141978,0.254037879,"hypothetical protein, conserved",138150,137360,141870,128390,174520,176350,197940,179130
958,Tb927.10.3970,-0.361439879,16.36808888,3.857955416,"hypothetical protein, conserved",62550,74734,65275,70809,117300,114990,126290,116350
959,Tb927.10.3990,-0.065932118,23.42967885,1.47151174,DHH1,10668000,11100000,11680000,11057000,14927000,15792000,16322000,16069000
960,Tb927.10.4000,0.213253436,19.84346569,3.00644867,"methylglutaconyl-CoA hydratase, mitochondrial precursor, putative",949020,956310,1141500,989860,1110000,1144000,1229300,1224700
961,Tb927.10.4010,0.060485842,19.04447332,0.517887924,"hypothetical protein, conserved",499490,557740,597190,509390,713720,682830,708980,698410
962,Tb927.10.4040,0.144328022,20.68816516,3.095301886,3-keto-dihydrosphingosine reductase,1675400,1739400,1898700,1734000,2120700,2203700,2118800,2186800
963,Tb927.10.4060,-0.125859853,18.63032224,2.598104182,"Ankyrin repeats (3 copies), putative",354880,380450,396810,375610,545460,551210,578660,552130
